scenario,Mb,seed,ncore,budget_total,scheme,admitted,core_load,bsm_rounds,eff_throughput,base_cost,solve_time
Sc2,12,3,2,1000.0,CAG,9,10.641,1,9.0,25.845,6.239
Sc2,12,3,2,1000.0,NA,9,2.437,1,9.0,3.652,10.289
Sc2,12,4,2,4.0,NO,6,211.666,53,0.1132,121.99,10.289
Sc2,12,4,2,4.0,CAG,8,2.58,1,8.0,9.472,1.176
Sc2,12,4,2,4.0,NA,9,0.0,1,9.0,1.781,10.314
Sc2,12,4,2,8.0,NO,6,211.666,27,0.2222,121.99,10.289
Sc2,12,4,2,8.0,CAG,9,7.125,1,9.0,11.271,1.173
Sc2,12,4,2,8.0,NA,9,0.0,1,9.0,1.781,10.257
Sc2,12,4,2,12.0,NO,6,211.666,18,0.3333,121.99,10.289
Sc2,12,4,2,12.0,CAG,9,7.125,1,9.0,11.271,1.231
Sc2,12,4,2,12.0,NA,9,0.0,1,9.0,1.921,10.325
Sc2,12,4,2,16.0,NO,6,211.666,14,0.4286,121.99,10.289
Sc2,12,4,2,16.0,CAG,9,7.125,1,9.0,11.271,1.318
Sc2,12,4,2,16.0,NA,9,4.069,1,9.0,2.646,10.301
Sc2,12,4,2,1000.0,NO,6,211.666,1,6.0,121.99,10.289
Sc2,12,4,2,1000.0,CAG,9,7.125,1,9.0,11.271,2.407
Sc2,12,4,2,1000.0,NA,9,1.321,1,9.0,2.076,10.293
Sc2,12,5,2,4.0,NO,7,38.559,10,0.7,40.672,10.271
Sc2,12,5,2,4.0,CAG,10,3.453,1,10.0,5.495,1.12
Sc2,12,5,2,8.0,NO,7,38.559,5,1.4,40.672,10.271
Sc2,12,5,2,8.0,CAG,10,3.453,1,10.0,5.495,1.08
Sc2,12,5,2,12.0,NO,7,38.559,4,1.75,40.672,10.271
Sc2,12,5,2,12.0,CAG,10,3.453,1,10.0,5.495,1.135
Sc2,12,5,2,16.0,NO,7,38.559,3,2.3333,40.672,10.271
Sc2,12,5,2,16.0,CAG,10,3.453,1,10.0,5.495,1.164
Sc2,12,5,2,1000.0,NO,7,38.559,1,7.0,40.672,10.271
Sc2,12,5,2,1000.0,CAG,10,3.453,1,10.0,5.495,2.087
Sc2,12,6,2,4.0,NO,6,236.888,60,0.1,70.807,10.322
Sc2,12,6,2,4.0,CAG,9,2.337,1,9.0,23.04,3.235
Sc2,12,6,2,8.0,NO,6,236.888,30,0.2,70.807,10.322
Sc2,12,6,2,8.0,CAG,9,2.337,1,9.0,23.04,3.186
Sc2,12,6,2,12.0,NO,6,236.888,20,0.3,70.807,10.322
Sc2,12,6,2,12.0,CAG,9,2.337,1,9.0,23.04,3.261
Sc2,12,6,2,16.0,NO,6,236.888,15,0.4,70.807,10.322
Sc2,12,6,2,16.0,CAG,9,2.337,1,9.0,23.04,2.693
Sc2,12,6,2,1000.0,NO,6,236.888,1,6.0,70.807,10.322
Sc2,12,6,2,1000.0,CAG,9,2.337,1,9.0,23.04,3.254
Sc2,12,7,2,4.0,NO,7,181.088,46,0.1522,61.742,10.277
Sc2,12,7,2,4.0,CAG,9,2.499,1,9.0,8.832,0.74
Sc2,12,7,2,8.0,NO,7,181.088,23,0.3043,61.742,10.277
Sc2,12,7,2,8.0,CAG,9,2.499,1,9.0,8.832,0.611
Sc2,12,7,2,12.0,NO,7,181.088,16,0.4375,61.742,10.277
Sc2,12,7,2,12.0,CAG,9,2.499,1,9.0,8.832,0.656
Sc2,12,7,2,16.0,NO,7,181.088,12,0.5833,61.742,10.277
Sc2,12,7,2,16.0,CAG,9,2.499,1,9.0,8.832,0.661
Sc2,12,7,2,1000.0,NO,7,181.088,1,7.0,61.742,10.277
Sc2,12,7,2,1000.0,CAG,9,2.499,1,9.0,8.832,1.194
Sc2,12,8,2,4.0,NO,7,231.819,58,0.1207,65.356,10.266
Sc2,12,8,2,4.0,CAG,8,0.0,1,8.0,9.233,1.289
Sc2,12,8,2,8.0,NO,7,231.819,29,0.2414,65.356,10.266
Sc2,12,8,2,8.0,CAG,8,0.0,1,8.0,9.233,1.328
Sc2,12,8,2,12.0,NO,7,231.819,20,0.35,65.356,10.266
Sc2,12,8,2,12.0,CAG,8,0.0,1,8.0,9.233,1.412
Sc2,12,8,2,16.0,NO,7,231.819,15,0.4667,65.356,10.266
Sc2,12,8,2,16.0,CAG,8,0.0,1,8.0,9.233,1.325
Sc2,12,8,2,1000.0,NO,7,231.819,1,7.0,65.356,10.266
Sc2,12,8,2,1000.0,CAG,8,0.0,1,8.0,9.233,2.423
Sc2,12,9,2,4.0,NO,7,172.278,44,0.1591,48.131,10.307
Sc2,12,9,2,4.0,CAG,8,2.58,1,8.0,6.697,1.33
Sc2,12,9,2,8.0,NO,7,172.278,22,0.3182,48.131,10.307
Sc2,12,9,2,8.0,CAG,9,7.768,1,9.0,8.855,1.292
Sc2,12,9,2,12.0,NO,7,172.278,15,0.4667,48.131,10.307
Sc2,12,9,2,12.0,CAG,9,7.768,1,9.0,8.855,1.318
Sc2,12,9,2,16.0,NO,7,172.278,11,0.6364,48.131,10.307
Sc2,12,9,2,16.0,CAG,9,12.256,1,9.0,10.155,1.345
Sc2,12,9,2,1000.0,NO,7,172.278,1,7.0,48.131,10.307
Sc2,12,9,2,1000.0,CAG,9,12.256,1,9.0,10.155,2.467
